Number of Hidden Nodes, Learning Rate, Activation Function, RMSE (1), RMSE (2), RMSE (3), RMSE (Average)
12, 0.3, SIGMOID, 34.107309884028005, 33.97817101125816, 34.215357963427266, 34.10027961957115
12, 0.3, TANH, 37.90814481569488, 37.90294451223967, 37.86281982991294, 37.89130305261583
12, 0.3, RELU, 34.78018343904975, 35.306419737332746, 35.68468478609231, 35.2570959874916
12, 0.35, SIGMOID, 34.428255916603106, 35.375682474032025, 35.34119574723903, 35.04837804595805
12, 0.35, TANH, 37.69421289769243, 37.705810315380226, 37.74728849818467, 37.71577057041911
12, 0.35, RELU, 40.755249844617346, 37.740222749799024, 34.97369680524615, 37.82305646655417
12, 0.4, SIGMOID, 34.91166591621869, 35.33011086611817, 34.24219964918012, 34.82799214383899
12, 0.4, TANH, 37.720994152974775, 37.63308562953654, 37.446720015968786, 37.600266599493374
12, 0.4, RELU, 34.42154920583532, 42.74224375275776, 41.50145500701705, 39.55508265520337
12, 0.45, SIGMOID, 34.60931007822632, 35.17270891979598, 34.0609400703336, 34.61431968945197
12, 0.45, TANH, 37.19255129256086, 37.02429386544409, 37.058936433031825, 37.09192719701226
12, 0.45, RELU, 47.38600920954708, 37.18318632741756, 42.39544483130144, 42.32154678942203
12, 0.5, SIGMOID, 35.1374202217941, 34.369124002819845, 34.66084683289032, 34.722463685834754
12, 0.5, TANH, 37.00480255152892, 36.739111678293064, 36.746864054395495, 36.83025942807249
12, 0.5, RELU, 41.446144345626365, 36.18570593283258, 38.19453328780882, 38.608794522089255
13, 0.05, SIGMOID, 52.41386682476529, 52.59884947216639, 52.06495698611181, 52.35922442768117
13, 0.05, TANH, 34.03285410028342, 34.05258714745893, 34.07062147936642, 34.05202090903626
13, 0.05, RELU, 34.66929892186862, 33.62839816572275, 35.044720249802204, 34.44747244579785
13, 0.1, SIGMOID, 34.59722570597601, 49.82982893495543, 34.32929514725765, 39.58544992939636
13, 0.1, TANH, 35.640390514795776, 36.023887671037336, 34.708586763486046, 35.45762164977305
13, 0.1, RELU, 39.3404946871071, 33.61421032724145, 34.41993716422137, 35.79154739285664
13, 0.15, SIGMOID, 34.989680645476184, 35.25063919100536, 35.84674833995004, 35.362356058810526
13, 0.15, TANH, 36.44307984511056, 36.724777834787695, 36.307890820306426, 36.49191616673489
13, 0.15, RELU, 33.4605966007463, 34.564446028747376, 35.974801243746356, 34.66661462441334
13, 0.2, SIGMOID, 35.3860778733894, 34.89144668879479, 34.17915133035943, 34.818891964181205
13, 0.2, TANH, 37.34006183798823, 37.48998299767652, 37.508399237853034, 37.44614802450593
13, 0.2, RELU, 33.222046097041584, 34.17447527291335, 34.99709643847307, 34.13120593614267
13, 0.25, SIGMOID, 34.46213260418285, 34.81503638209014, 34.33632859071456, 34.537832525662516
13, 0.25, TANH, 37.70368172652991, 37.675360533929066, 37.583721123228436, 37.65425446122914
